"Location","Freq","lng","lat","radius"
"W 67th St",2900,-73.988519,40.7773485,53.851648071345
"Borden Ave",2898,-73.9397516,40.7386146,53.8330753347791
"57th Ave",2884,-73.873996,40.734186,53.7028863283902
"Lincoln Pl",2883,-73.9186246,40.6690788,53.6935750346352
"E 67th St",2878,-73.912071,40.619409,53.6469943240066
"King St",2866,-74.1558541,40.5354281,53.5350352572967
"Barnes Ave",2861,-73.863926,40.852339,53.4883164812653
"92nd St",2854,-73.9526703,40.7830698,53.4228415567723
"Surf Ave",2846,-73.9938307,40.5730535,53.3479146733966
"Corona Ave",2831,-73.8567901,40.7438672,53.2071423776921
"163rd St",2824,-73.8006304,40.7778208,53.1413210223457
"W 112th St",2821,-73.9544844,40.8006945,53.113086899558
"Greene St",2817,-73.994822,40.73035,53.0754180388624
"Wall St",2817,-74.0088308,40.7060194,53.0754180388624
"70th St",2809,-73.89253,40.7267857,53
"GRAND CONCOURSE(S/B)",2804,-73.9002519,40.8569323,52.9528091794949
"Marion Ave",2804,-73.80068,42.664515,52.9528091794949
"62nd St",2801,-74.0239648,40.6423308,52.924474489597
"Jefferson Ave",2800,-73.9055457,40.6996453,52.9150262212918
"146th St",2778,-73.8089276,40.7019181,52.7067358124178
"Avenue K",2770,-73.925673,40.625952,52.6307894677631
"Gerard Ave",2770,-73.9309003,40.8139359,52.6307894677631
"MYRTLE AVE",2769,-73.9352775,40.6969959,52.6212884676915
"68th St",2767,-73.989851,40.61613,52.6022813193496
"Ft Hamilton Pky",2767,-73.990497,40.643164,52.6022813193496
"Herkimer St",2762,-74.103517,40.623757,52.5547333738836
"W 77th St",2761,-73.98073,40.782439,52.5452186216786
"72nd Ave",2760,-73.824003,40.726047,52.5357021462548
"Jay St",2759,-74.0332437,42.7047608,52.5261839466756
"E Fordham Rd",2758,-73.8983755,40.8623184,52.5166640220035
"Christopher St",2757,-73.9993774,40.7341079,52.5071423713003
"Johnson Ave",2755,-73.9189524,40.8774148,52.4880938880428
"East Ave",2754,-73.860324,40.836374,52.4785670536077
"59th St",2750,-74.0178046,40.6414239,52.4404424085076
"Hester St",2745,-73.9905581,40.7158068,52.3927475897189
"W 87th St",2745,-73.9760614,40.788995,52.3927475897189
"E 5th St",2738,-73.974562,40.638373,52.3259018078045
"Roebling St",2737,-73.959025,40.7122277,52.3163454381133
"91st St",2717,-73.848634,40.681684,52.1248501196886
"W 126th St",2709,-73.9564745,40.8150351,52.0480547186924
"Beach 116th St",2701,-73.837705,40.5808245,51.9711458407451
"W Burnside Ave",2698,-73.90943,40.85396,51.9422756528822
"Bay St",2693,-73.6467685,43.3122064,51.8941229813165
"Gates Ave",2693,-73.9117817,40.6999271,51.8941229813165
"Hart St",2688,-73.928833,40.697186,51.8459255872629
"SUNRISE HWY.(W/B) @",2682,-72.4973964,40.8906016,51.7880295048962
"Cypress Ave",2681,-73.9145148,40.8055578,51.7783738639985
"W 11th St",2679,-73.99505,40.734034,51.7590571784301
"WEST END AVE. (S/B)",2679,-73.9893697,40.7731119,51.7590571784301
"Gramercy Park",2664,-73.9859323962158,40.73792525,51.6139516022558
"95th Ave",2658,-73.809512,40.697399,51.555795018601
"Meeker Ave",2654,-73.9527027,40.7147262,51.516987489565
"Barclay Ave",2638,-74.1673465,40.5270001,51.361464153585
"Marcy Ave",2624,-73.9579142,40.7084064,51.2249938994628
"W 238th St",2615,-73.9053419,40.8873676,51.1370707021824
"72nd Rd",2606,-73.8391201,40.7207377,51.0489960724009
"44th Dr",2596,-73.9438074,40.7474255,50.950956811428
"ROOSEVELT AVE",2590,-73.8332175,40.7585475,50.8920425999979
"Flushing Ave",2580,-73.950091,40.699791,50.7937003968012
"Penn Plz",2579,-73.8205375,40.8931283,50.7838557023785
"Avenue B",2577,-73.980802,40.7256382,50.7641605859882
"Yellowstone Blvd",2576,-73.8523033,40.7225134,50.7543101617981
"50th Ave",2573,-73.944689,40.740909,50.7247474118896
"LIBERTY AVE",2573,-73.8965126,40.6744049,50.7247474118896
"Ditmas Ave",2572,-73.978209,40.6362897,50.7148893324239
"Bedford Park Blvd",2558,-73.8874615,40.8727078,50.5766744656072
"5th St",2540,-73.358294,42.897064,50.3984126734166
"Avenue X",2539,-73.9742753,40.5893417,50.3884907493765
"76th Ave",2537,-73.8201469,40.7225479,50.3686410378521
"58th St",2535,-74.0225489,40.6451256,50.3487835006964
"ARTHUR KILL RD.(W/B)",2533,-74.2489853,40.512883,50.3289181286465
"Shore Pky",2526,-73.934774,40.58664,50.2593274925162
"Bond St",2523,-73.9947295,40.7269405,50.2294734194974
"BEDFORD AVE",2516,-73.9577249,40.7178272,50.1597448159378
"W 106th St",2512,-73.9618737,40.7988136,50.1198563445667
"Buhre Ave",2509,-73.8322772,40.847037,50.0899191454728
"Bayside Lot",2505,-73.7770774,40.7684351,50.0499750249688
"Avenue C",2499,-73.9742526,40.732206,49.9899989998
"W 90th St",2499,-73.9722771,40.7898803,49.9899989998
"Duffield St",2484,-73.9840472,40.6975813,49.8397431775084
"64th Rd",2481,-73.8603195,40.7236466,49.8096376216491
"Division Ave",2475,-73.9575781,40.70718,49.749371855331
"56th Ave",2473,-73.760535,40.752055,49.7292670366254
"E Burnside Ave",2471,-73.9028343,40.851721,49.7091540865463
"E 102nd St",2470,-73.898554,40.647572,49.6990945591567
"UNION ST",2468,-73.9831945,40.677186,49.6789693934969
"CROSSBAY BLVD.(S/B)@",2456,-73.8447425,40.679922,49.5580467734555
"Avenue D",2453,-73.9130824,40.6450181,49.5277699881592
"ST NICHOLAS AVE",2451,-73.952807,40.80587,49.5075751779463
"8th St",2447,-73.933025,40.772166,49.4671608241265
"W 34th St",2447,-73.9984594,40.7542954,49.4671608241265
"Spruce St",2436,-73.3736991,40.6752441,49.3558507170123
"W 62nd St",2429,-73.9820402,40.7705153,49.2848861214064
"N 6th St",2427,-73.957797,40.716957,49.2645917470144
"New York Ave",2424,-73.8418371,40.7518861,49.2341345003647
"UTICA AVE",2420,-73.9308408,40.679347,49.1934955049954
"Ralph Ave",2411,-73.9216651,40.6788802,49.1019347887637
"GRAND CONCOURSE",2410,-73.885364,40.8772429,49.0917508345343
"Troy Ave",2404,-73.9358825,40.648739,49.0306026885251
"Belmont Ave",2397,-73.8945686,40.6707773,48.9591666595746
"E Mosholu Pky",2396,-73.8873173,40.9049445,48.9489530020817
"83rd Ave",2387,-73.821083,40.712539,48.8569340012244
"Central Park South",2386,-73.9810182,40.7676993,48.8466989672793
"42nd Ave",2385,-73.7696303,40.7628292,48.8364617882991
"Lawrence St",2368,-73.63654,43.3138266,48.6621002423858
"Wallabout St",2366,-73.952176,40.700292,48.6415460280612
"95th St",2357,-74.0312474,40.616049,48.5489443757534
"Fort Hamilton Pky",2351,-73.990497,40.643164,48.4871116896026
"Monroe St",2350,-76.5024856,42.4450949,48.4767985741633
"Morningside Dr",2350,-73.821773,42.63051,48.4767985741633
"13th St",2346,-73.9451046,40.7524881,48.4355241532493
"6 AVE",2339,-73.9855270636266,40.5864547,48.363209157375
"Halsey St",2328,-73.9050185,40.69607,48.2493523272593
"14th St",2327,-73.9996735,40.738552,48.2389883807693
"Woodbine St",2322,-73.9192186,40.6900086,48.187135212627
"W 91st St",2321,-73.971814,40.7905011,48.1767578817836
"69th Ave",2316,-73.873333,40.709769,48.1248376620639
"Duane St",2304,-74.0032451,40.7140433,48
"ARTHUR KILL RD (W/B)",2300,-74.2489853,40.512883,47.9583152331272
"W 135th St",2300,-73.939325,40.813458,47.9583152331272
"Little West 12th St",2295,-74.0079577,40.7403078,47.9061582680139
"Waverly Pl",2278,-74.0011954,40.7338049,47.7283982551269
"86 ST",2273,-73.975127,40.5906494,47.6759897642409
"W 165th St",2271,-73.942621,40.8399566,47.6550102297754
"24th St",2270,-73.9951714,40.6596912,47.6445169982864
"Saunders St",2269,-73.860755,40.728536,47.6340214552582
"E 115th St",2264,-73.9403868,40.7972005,47.5815090134813
"Hughes Ave",2264,-73.883945,40.858666,47.5815090134813
"PACIFIC ST",2259,-73.9083461,40.6753844,47.5289385532646
"Bruckner Blvd",2255,-73.8883825,40.8219318,47.4868402823351
"Wallace Ave",2255,-73.864814,40.854443,47.4868402823351
"Wadsworth Ave",2253,-73.938262,40.8453,47.4657771452233
"Pierrepont St",2247,-73.9939093,40.6954462,47.4025315779653
"WEBSTER AVE",2238,-73.9008243,40.8478532,47.3075046900595
"28th St",2237,-73.9933621,40.747217,47.2969343615419
"Sullivan St",2237,-74.012304,40.677863,47.2969343615419
"W. FORDHAM RD.(W/B)@",2235,-73.9075518,40.8628124,47.2757866142913
"96th St",2229,-73.9719996,40.7943793,47.2122865364515
"Union Hall St",2222,-73.7979057,40.7041436,47.1380949975707
"Bay Ridge Pky",2219,-73.989567,40.609514,47.1062628532555
"Springfield Blvd",2218,-73.7438126,40.6953831,47.0956473572665
"41st Rd",2212,-73.833209,40.7556124,47.0319040652194
"W 115th St",2205,-73.9657384,40.8079042,46.9574275274956
"Parkside Ave",2202,-73.9615106,40.6552726,46.9254728266003
"RICHMOND AVE",2201,-74.1692361,40.5803063,46.9148164229596
"JEROME AVE",2196,-73.887736,40.877034,46.8614980554399
"Shore Rd",2193,-73.8206694,40.8576123,46.8294778958724
"Trinity Pl",2181,-74.0135459,40.7069158,46.7011777153425
"15th Ave",2180,-73.9947029,40.6256411,46.690470119715
"SUTPHIN BLVD",2177,-73.8100753,40.7055897,46.6583325891528
"Baychester Ave",2172,-73.8383998,40.8788002,46.6047207909242
"W 119th St",2168,-73.955416,40.8069647,46.5617869072913
"W 83rd St",2168,-73.9708991,40.7833954,46.5617869072913
"Stockholm St",2166,-73.921631,40.700675,46.5403051128804
"67th Ave",2158,-73.85367,40.7270137,46.4542785973477
"Elm Pl",2157,-73.808129,42.693513,46.4435140789325
"E New York Ave",2156,-73.9006395,40.6767236,46.4327470649756
"Decatur St",2153,-73.909439,40.686845,46.4004310324807
"118th St",2148,-73.823073,40.681996,46.3465209050259
"Haven Ave",2146,-73.9413344,40.8512938,46.3249392876019
"NORTHERN BLVD",2142,-73.9062074,40.7530794,46.2817458616245
"3RD AVENUE",2141,-73.9830681,40.7389372,46.2709412050371
"Avenue O",2131,-73.8741284,40.8135053,46.1627555503352
"W 183rd St",2124,-73.9387583,40.8523449,46.0868744872117
"W 9th St",2124,-73.9989395,40.7341355,46.0868744872117
"Seaman Ave",2118,-73.9282467,40.8659387,46.0217339960154
"Seaview Ave",2114,-73.8659988,40.6533805,45.9782557302906
"Evergreen Ave",2112,-73.68284,40.992478,45.9565011723042
"W 47 ST",2110,-74.0998649,41.4933921,45.9347363114234
"W 127th St",2103,-73.9478079,40.8104618,45.8584779511924
"Rutland Rd",2100,-73.9292346,40.6607177,45.8257569495584
"Randall Ave",2096,-73.8812769,40.8129135,45.7820925690384
"Stillwell Ave",2094,-73.9854397,40.5977057,45.7602447545902
"Wyckoff Ave",2093,-73.9094168,40.6986203,45.7493169347915
"Hicks St",2089,-74.0038414,40.6786481,45.7055795281058
"40th Ave",2088,-73.9357011,40.752307,45.6946386351835
"Nagle Ave",2088,-73.9244087,40.8616676,45.6946386351835
"SOUTHERN BLVD",2082,-73.7770254,42.6247994,45.6289381861993
"LINDEN BLVD",2080,-73.8623198,40.6694617,45.6070170039655
"159th St",2079,-73.80575,40.76818,45.596052460712
"120th St",2074,-73.818798,40.674003,45.5411901469428
"Kew Gardens Rd",2074,-73.828728,40.711506,45.5411901469428
"Schenectady Ave",2073,-73.9295041,40.6163212,45.5302097513288
"Bard Ave",2072,-74.106822,40.621794,45.5192267069642
"W 97th St",2072,-73.971329,40.7953306,45.5192267069642
"116th St",2070,-73.9415679,40.7985915,45.4972526643093
"Matthews Ave",2051,-73.862714,40.861259,45.287967496897
"Palmetto St",2049,-73.9111037,40.6994605,45.2658811910251
"Lenox Rd",2046,-73.919089,40.658966,45.2327315115946
"65th Ave",2042,-73.8580908,40.7285638,45.18849411078
"Maple Ave",2039,-73.833869,40.753551,45.1552876195025
"Humboldt St",2037,-73.9422439,40.711897,45.133136385587
"Mason Ave",2035,-74.087554,40.585805,45.1109742745598
"112th St",2025,-73.837619,40.719654,45
"CHURCH AVE",2023,-73.9635215,40.6492649,44.977772288098
"WHITE PLAINS RD",2023,-73.8663349,40.8771761,44.977772288098
"Fort Washington Ave",2019,-73.9389728,40.849252,44.9332838773219
"LENOX AVE",2019,-75.248305,43.105369,44.9332838773219
"MERRICK BLVD",2016,-73.7307297,40.6739238,44.8998886412873
"W 88th St",2016,-73.9711413,40.7877577,44.8998886412873
"37th Rd",2010,-73.889651,40.747446,44.8330235429198
"Laight St",2010,-74.0051794,40.7216947,44.8330235429198
"Clermont Ave",2004,-73.9714076,40.6958557,44.7660585711988
"32nd Ave",1998,-73.811255,40.77001,44.698993277254
"Elmhurst Ave",1998,-73.8812565,40.7420609,44.698993277254
"82nd Rd",1989,-73.828728,40.711506,44.5982062419555
"GRAND ST",1986,-73.9937839,40.7181616,44.5645599103144
"Center Blvd",1984,-73.9587572,40.7441603,44.5421149026402
"Olinville Ave",1983,-73.868068,40.877368,44.5308881564246
"W 81st St",1982,-73.9720878,40.7821872,44.5196585791041
"Classon Ave",1981,-73.961298,40.699299,44.5084261685358
"W 68th St",1981,-73.9806593,40.7748542,44.5084261685358
"W 170th St",1980,-73.9374046,40.8416413,44.497190922574
"101st St",1975,-73.8671325,40.755652,44.4409720865779
"W 235th St",1975,-73.909982,40.885658,44.4409720865779
"44th Rd",1966,-73.9471087,40.7488459,44.3395985547907
"Bronxdale Ave",1964,-73.8678673,40.8516256,44.3170396123207
"West Ave",1964,-73.8635038,41.3765314,44.3170396123207
"134th St",1963,-73.81334,40.692772,44.3057558337514
"W 164th St",1963,-73.9371305,40.8365139,44.3057558337514
"121st St",1949,-73.8172533,40.6762735,44.1474801092882
"E 138th St",1948,-73.9349452,40.8141273,44.1361529814278
"75th Ave",1945,-73.8110045,40.726451,44.1021541423999
"Glenwood Rd",1945,-73.898554,40.647572,44.1021541423999
"ROCKAWAY BLVD",1944,-73.8002765,40.6742698,44.0908153700972
"9TH AVE",1941,-74.0027323,40.7446399,44.0567815438214
"GRAND CONCOURSE(N/B)",1941,-73.9002519,40.8569323,44.0567815438214
"Hull Ave",1937,-73.898652,40.726709,44.0113621693308
"MADISON ST",1937,-73.90027,40.706357,44.0113621693308
"UNIVERSITY AVE",1937,-77.5685972,43.1509437,44.0113621693308
"Perry Ave",1934,-73.9370334,40.5769115,43.977266854592
"E 183rd St",1925,-73.8925,40.854975,43.8748219369606
"E 190th St",1925,-73.899198,40.863329,43.8748219369606
"168th Pl",1924,-73.7966586,40.715934,43.8634243989226
"PRESIDENT ST",1922,-73.9506525,40.6680739,43.8406204335659
"Waverly Ave",1911,-73.7447295,40.9483528,43.7149859887888
"Union Ave",1905,-73.9517399,40.7149176,43.6463056855904
"S 5th St",1903,-73.956305,40.708674,43.6233882223745
"HILLSIDE AVE",1898,-73.8088844,40.7059807,43.5660418215839
"Snyder Ave",1897,-73.943604,40.649279,43.5545634807651
"76th Rd",1896,-73.8348857,40.7172124,43.5430821141545
"68th Ave",1893,-73.870945,40.711246,43.5086198356142
"W 118th St",1893,-73.9526952,40.8050006,43.5086198356142
"24th Ave",1889,-73.9190823,40.7748923,43.4626276242015
"Cadman Plaza West",1889,-73.9907663,40.7005674,43.4626276242015
"Convent Ave",1889,-73.9467212,40.8239713,43.4626276242015
"Farrington St",1888,-73.832714,40.766745,43.4511219648009
"110th St",1869,-73.9443458,40.7947868,43.2319326424346
"Bailey Ave",1869,-78.8275291,42.8592507,43.2319326424346
"Bushwick Ave",1863,-73.930348,40.696254,43.1624837098145
"Adelphi St",1859,-73.97156,40.69164,43.1161222746202
"E 97th St",1858,-73.9537864,40.7879497,43.1045241245046
"ROCKAWAY BLVD. (S/B)",1850,-73.8002765,40.6742698,43.0116263352131
"Division St",1848,-73.7403629,40.6371298,42.9883705204094
"W 95th St",1847,-73.9729799,40.7942707,42.9767378938886
"46th Ave",1846,-73.8043122,40.7537197,42.9651021178817
"84th Dr",1839,-73.7125924,40.7349158,42.8835632847831
"Campus Rd",1839,-73.948884,40.630671,42.8835632847831
"Farragut Rd",1835,-73.92986,40.637394,42.8368999812078
"W 113th St",1829,-73.9651156,40.805998,42.7668095606862
"Starling Ave",1828,-73.8541059,40.8361603,42.7551166528639
"Stanhope St",1826,-73.92088,40.700247,42.731721238443
"W 138th St",1826,-73.9395348,40.8160584,42.731721238443
"47th Rd",1822,-73.775097,40.754214,42.6848919408261
"W 142nd St",1822,-73.9367533,40.8181377,42.6848919408261
"Bowne St",1820,-74.007303,40.682123,42.6614580154031
"W 92nd St",1820,-73.9722281,40.7914959,42.6614580154031
"19th Ave",1819,-73.9780744,40.6274579,42.6497362242722
"N 7th St",1816,-73.9576688,40.7177999,42.614551505325
"Hoyt St",1812,-73.9849862,40.6905128,42.5675933075855
"Brook Ave",1811,-73.9192429,40.807555,42.5558456619064
"Prospect Park West",1811,-73.9737876,40.6682953,42.5558456619064
"South St",1811,-75.217345,43.091064,42.5558456619064
"Lorimer St",1803,-73.9473618,40.7038293,42.4617474911243
"E 112th St",1799,-73.9434711,40.7960891,42.414620120897
"PITKIN AVE",1799,-73.9191926,40.6684412,42.414620120897
"RICHMOND RD.(W/B)@ N",1796,-76.03505,43.067218,42.3792402008342
"147th St",1795,-73.800864,40.690987,42.3674403286297
"W 168th St",1795,-73.941076,40.8416429,42.3674403286297
"Macon St",1791,-73.9320788,40.6830993,42.3202079389977
"W 61st St",1791,-73.9837819,40.7704486,42.3202079389977
"Post Ave",1784,-73.876273,42.20749,42.2374241638857
"W 179th St",1784,-73.9389502,40.8493123,42.2374241638857
"Bronx Park East",1780,-73.8683841,40.8489744,42.190046219458
"W 123rd St",1778,-73.953542,40.8094627,42.166337284616
"Onderdonk Ave",1777,-73.9239397,40.713903,42.154477816716
"188th St",1775,-73.7868195,40.7411325,42.1307488658818
"CENTRAL PARK WEST",1773,-73.9810245,40.7692723,42.1070065428546
"Metropolitan Oval",1770,-73.859886806584,40.838312,42.0713679359253
"Troutman St",1770,-73.9245699,40.7048413,42.0713679359253
"W 129th St",1769,-73.9464014,40.8114793,42.0594816896262
"W 78th St",1768,-73.9789175,40.7825049,42.0475920832573
"169th St",1767,-73.7942635,40.7101566,42.0356991139674
"Rochambeau Ave",1764,-73.880649,40.876483,42
"139th St",1763,-73.8124669,40.70138,41.988093550434
"Himrod St",1761,-73.9185648,40.7014112,41.9642705167146
"W 236th St",1760,-73.904017,40.884772,41.9523539268061
"Claremont Ave",1758,-73.9616239,40.812911,41.9285105864733
"E 233rd St",1756,-73.8378411,40.8887053,41.9046536795139
"Ovington Ave",1754,-74.0164788,40.6303466,41.8807831827438
"W 122nd St",1754,-73.9495441,40.8069578,41.8807831827438
